Timestamp,CPU %,Cores Used
1680419208.4864361,0.0,8
1680419210.491568,6.1,8
1680419212.494899,3.2,8
1680419214.4977212,4.6,8
1680419216.4987211,13.1,8
1680419218.502744,10.2,8
1680419220.508924,9.4,8
1680419222.5117261,11.7,8
1680419224.513728,14.9,8
1680419226.519268,13.7,8
1680419228.524538,8.9,8
1680419230.530016,4.4,8
1680419232.536082,5.2,8
1680419234.5421178,5.4,8
1680419236.548077,7.1,8
1680419238.554024,8.6,8
1680419240.5600471,7.9,8
1680419242.5664399,9.7,8
1680419244.56963,6.9,8
1680419246.5756092,4.8,8
1680419248.58164,4.6,8
1680419250.586945,6.1,8
1680419252.5895228,5.3,8
1680419254.595293,4.3,8
1680419256.601304,5.2,8
1680419258.6070771,4.6,8
1680419260.613091,5.1,8
1680419262.614729,6.4,8
1680419264.620777,5.6,8
1680419266.625279,4.7,8
1680419268.6315,5.2,8
1680419270.637253,7.7,8
1680419272.6397,22.3,8
1680419274.645716,8.9,8
1680419276.6518369,7.0,8
1680419278.657961,7.6,8
1680419280.66344,7.0,8
1680419282.669439,9.1,8
1680419284.675411,7.9,8
1680419286.679082,6.2,8
1680419288.6837618,10.7,8
1680419290.689306,17.1,8
1680419292.692978,9.2,8
1680419294.6986759,7.7,8
1680419296.701362,8.4,8
1680419298.706924,10.3,8
1680419300.7123892,8.6,8
1680419302.718378,13.0,8
1680419304.724271,12.0,8
1680419306.729723,8.4,8
1680419308.731926,7.8,8
1680419310.7373,8.3,8
1680419312.740382,8.6,8
1680419314.745635,12.4,8
1680419316.751004,7.5,8
1680419318.756962,6.2,8
1680419320.76246,6.1,8
1680419322.7684832,6.1,8
1680419324.774459,7.4,8
1680419326.78048,6.6,8
1680419328.7867079,17.6,8
1680419330.7933838,17.2,8
1680419332.7988842,11.8,8
1680419334.800591,14.4,8
1680419336.805599,12.0,8
1680419338.808783,37.3,8
1680419340.810174,45.9,8
1680419342.815419,44.5,8
1680419344.821219,16.3,8
1680419346.82805,26.2,8
1680419348.834207,15.7,8
1680419350.841335,12.9,8
1680419352.847763,20.1,8
1680419354.8534698,19.3,8
1680419356.8560262,24.8,8
1680419358.867197,60.1,8
1680419360.874401,18.3,8
1680419362.880654,60.1,8
1680419364.8905652,58.0,8
1680419366.894758,10.8,8
1680419368.9007502,11.9,8
1680419370.906761,7.8,8
1680419372.912517,25.6,8
1680419374.915734,61.8,8
1680419376.923285,97.7,8
1680419378.9287229,99.8,8
1680419380.934366,99.8,8
1680419382.9397929,99.8,8
1680419384.9454122,99.6,8
1680419386.9486709,99.9,8
1680419388.9494898,99.9,8
1680419390.956707,99.8,8
1680419392.9621491,99.9,8
1680419394.9645,99.8,8
1680419396.9674828,99.9,8
1680419398.9725912,99.8,8
1680419400.978003,99.6,8
1680419402.983424,100.0,8
1680419404.988788,100.0,8
1680419406.994362,100.0,8
1680419408.996292,100.0,8
1680419411.000727,100.0,8
1680419413.006121,99.7,8
1680419415.0099149,99.6,8
1680419417.014832,99.8,8
1680419419.020264,99.8,8
1680419421.021633,99.9,8
1680419423.0231318,99.8,8
1680419425.029243,99.9,8
1680419427.030429,99.8,8
1680419429.032208,99.8,8
1680419431.0376189,99.8,8
1680419433.040417,99.7,8
1680419435.045949,99.8,8
1680419437.051391,99.7,8
1680419439.0524642,99.8,8
1680419441.0579698,99.9,8
1680419443.0634701,99.6,8
1680419445.0688279,99.9,8
1680419447.074173,99.8,8
1680419449.0756962,99.8,8
1680419451.081163,99.8,8
1680419453.086716,99.8,8
1680419455.089269,99.9,8
1680419457.094657,99.9,8
1680419459.1000168,100.0,8
1680419461.1053922,99.8,8
